epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9198,3.25068,6.63361,2.90006,0.0011,0.66667,0.04254,0.00425,3.81832,10.882,3.3051,5.716e-05,5.716e-05,5.716e-05
2,46.4894,2.75668,6.23481,2.37147,0.00185,1,0.58599,0.12518,2.58939,8.14777,2.24105,0.000124366,0.000124366,0.000124366
3,66.9339,2.13447,4.81281,1.9486,0.00195,1,0.39394,0.22121,1.6106,5.97005,1.64041,0.000186856,0.000186856,0.000186856
4,86.278,1.80209,4.63454,1.78474,0.00191,1,0.31899,0.21512,1.0362,5.51825,1.28695,0.000244631,0.000244631,0.000244631
5,106.307,1.47935,4.07949,1.53276,0.00177,1,0.51333,0.32697,1.13012,5.1881,1.3532,0.000297689,0.000297689,0.000297689
6,126.547,1.61692,4.46419,1.51229,0.0017,1,0.51627,0.26424,1.22025,5.31546,1.40083,0.000346032,0.000346032,0.000346032
7,143.45,1.48434,3.70223,1.46129,0.00165,1,0.60736,0.31742,1.22719,5.1979,1.40478,0.00038966,0.00038966,0.00038966
8,157.332,1.5833,4.17122,1.57943,0.00164,1,0.62125,0.33596,1.26224,5.18927,1.42742,0.000428571,0.000428571,0.000428571
9,171.023,1.49242,3.5245,1.5546,0.00164,1,0.54448,0.34753,1.22189,4.95949,1.43152,0.000462767,0.000462767,0.000462767
10,184.778,1.403,3.43945,1.45776,0.00175,1,0.60736,0.33894,1.36363,5.09833,1.49033,0.000492248,0.000492248,0.000492248
11,198.287,1.6214,4.32054,1.60378,0.00175,1,0.56106,0.33134,1.35297,5.1715,1.47071,0.000517012,0.000517012,0.000517012
12,212.332,1.31144,3.64733,1.39371,0.00173,1,0.64625,0.28454,1.61338,4.89374,1.68309,0.000537061,0.000537061,0.000537061
13,226.381,1.50027,3.94036,1.64383,0.00169,1,0.66278,0.39191,1.29323,4.8781,1.49679,0.000552394,0.000552394,0.000552394
14,239.716,1.52671,3.71448,1.57633,0.00169,1,0.66278,0.39191,1.29323,4.8781,1.49679,0.000563012,0.000563012,0.000563012
15,253.345,1.55226,3.46112,1.62967,0.28228,1,0.635,0.40708,1.30683,4.52528,1.43209,0.000568913,0.000568913,0.000568913
16,267.101,1.2988,3.04602,1.39734,0.61783,0.66667,0.69028,0.38861,1.24381,4.33831,1.41002,0.0005701,0.0005701,0.0005701
17,281.476,1.37301,3.23591,1.46972,0.57537,0.5,0.69028,0.46165,1.16139,4.42423,1.3762,0.00056657,0.00056657,0.00056657
18,296.438,1.34011,3.38536,1.50561,0.57537,0.5,0.69028,0.46165,1.16139,4.42423,1.3762,0.000558325,0.000558325,0.000558325
19,311.043,1.50971,3.2904,1.55899,0.42248,0.83333,0.91167,0.58436,1.25401,4.32203,1.4286,0.000545364,0.000545364,0.000545364
20,326.654,1.16846,2.84293,1.25586,0.47554,0.85543,0.93944,0.59401,1.23395,4.10038,1.38649,0.000527687,0.000527687,0.000527687
21,341.23,1.07886,4.94746,1.24413,0.47554,0.85543,0.93944,0.59401,1.23395,4.10038,1.38649,0.00048586,0.00048586,0.00048586
22,356.047,1.09899,3.93081,1.32193,0.44399,0.83333,0.82889,0.56332,1.25206,4.32723,1.37702,0.000438703,0.000438703,0.000438703
23,371.467,1.15999,4.04811,1.37162,0.62697,0.93631,0.88444,0.58904,1.33051,4.23062,1.41707,0.000391546,0.000391546,0.000391546
24,385.323,1.15024,4.02006,1.38857,0.62697,0.93631,0.88444,0.58904,1.33051,4.23062,1.41707,0.000344389,0.000344389,0.000344389
25,400.607,1.2126,4.0062,1.42139,0.51389,0.99426,0.93944,0.62999,1.31698,4.23276,1.41016,0.000297232,0.000297232,0.000297232
26,414.621,0.91714,4.4541,1.18633,0.51389,0.99426,0.93944,0.62999,1.31698,4.23276,1.41016,0.000250075,0.000250075,0.000250075
27,428.755,0.93139,13.4707,1.03553,0.55261,0.83333,0.93944,0.62199,1.42538,4.41692,1.46691,0.000202918,0.000202918,0.000202918
28,443.399,1.16075,3.97409,1.32144,0.69408,0.83333,0.77361,0.43703,1.44687,4.19802,1.48025,0.000155761,0.000155761,0.000155761
29,457.622,1.04446,3.91471,1.18509,0.69408,0.83333,0.77361,0.43703,1.44687,4.19802,1.48025,0.000108604,0.000108604,0.000108604
30,471.612,1.16908,3.70316,1.30718,0.74903,0.83333,0.77361,0.43703,1.46474,4.26649,1.50259,6.1447e-05,6.1447e-05,6.1447e-05
